1092150227;CC;Kamila Lola;Iglesias;Casas;carmencatalinaic@misena.edu.co;carmencatalinaic@gmail.com;3003800624;;O-;1995-5-7;Av. 25, Cll. 3 # 14-40, Barrio La Sabana;Dana Iglesias;3222688976
1092369147;CC;Simón;Mejía;Jurado;marcelajazminmj@misena.edu.co;samanthabenitaj@gmail.com;3091070632;6034186008;A-;1999-6-20;Av. 8, Cll. 25 # 10-49, Barrio Ojo Por Ojo;Vanessa Mejía;3113354977
1091988245;CC;Roberto Pato;Fajardo;Cárdenas;sandranuryfc@misena.edu.co;josefajazming@outlook.com;3112256822;6016434236;B-;1999-8-8;Av. 12, Cll. 4 # 16-8, Barrio El Arrunche;Ángela Fajardo;3148553512
1091713903;TI;Neyda Laura;Mesa;Castillo;pamelageraldinemc@misena.edu.co;albapaolah@outlook.com;3238901887;;AB+;2007-10-3;Av. 17, Cll. 11 # 6-10, Barrio Ojo Por Ojo;Daniela Mesa;3264925193
1091506063;CC;Fernando Beto;Antolinez;Higuera;vanessazaidaah@misena.edu.co;camilageraldinel@gmail.com;3078270202;;B-;1998-8-3;Av. 11, Cll. 21 # 11-13, Barrio La Tableta;Lola Antolinez;3125912052
1093083299;CC;Geraldine Wanda;Contreras;;neydaelcidac@misena.edu.co;elcidaingrida@gmail.com;3064630230;;A-;2000-10-20;Av. 18, Cll. 1 # 15-19, Barrio El Asustado;Fernanda Contreras;3033263798
1091234557;CC;Esmeralda Kamila;Ibarra;;victoriaestheri@misena.edu.co;carmenwandan@gmail.com;3068209283;;O+;1994-5-10;Av. 1, Cll. 24 # 6-33, Barrio El Atraco;Jazmín Ibarra;3248363309
1093441501;CC;Samuel;Gato;;nurycamilag@misena.edu.co;ursulazaidad@gmail.com;3123479793;;O-;1998-4-4;Av. 16, Cll. 4 # 13-38, Barrio El Ciego;;
1091164584;CC;Yesid Nezareth;Botija;Hidalgo;luciaraquelbh@misena.edu.co;betsycamilal@outlook.com;3114542029;;O+;1993-2-4;Av. 10, Cll. 18 # 19-14, Barrio El Abrume;Génesis Botija;3210143135
1093969070;TI;Ángel Tobías;Hurtado;Gutierrez;belindaelcidahg@misena.edu.co;sofiaesmeraldah@gmail.com;3081668114;;O+;2006-8-17;Av. 0, Cll. 2 # 18-22, Barrio El Tiempo;Zaida Hurtado;3061927047
